CodeMétéo,Condition,Condition_EN,IcôneJour,IcôneNuit
326,Légère neige,Light snow,wsymbol_0011_light_snow_showers,wsymbol_0027_light_snow_showers_night
323,Légères chutes de neige localisées,Patchy light snow,wsymbol_0011_light_snow_showers,wsymbol_0027_light_snow_showers_night
320,Neige fondante modérée ou forte,Moderate or heavy sleet,wsymbol_0019_cloudy_with_light_snow,wsymbol_0035_cloudy_with_light_snow_night
317,Légère neige fondante,Light sleet,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
314,Pluie verglaçante modérée ou forte,Moderate or heavy freezing rain,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
311,Légère pluie verglaçante,Light freezing rain,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
308,Pluie forte,Heavy rain,wsymbol_0018_cloudy_with_heavy_rain,wsymbol_0034_cloudy_with_heavy_rain_night
305,Pluie forte par moments,Heavy rain at times,wsymbol_0010_heavy_rain_showers,wsymbol_0026_heavy_rain_showers_night
302,Pluie modérée,Moderate rain,wsymbol_0018_cloudy_with_heavy_rain,wsymbol_0034_cloudy_with_heavy_rain_night
299,Pluie modérée par moments,Moderate rain at times,wsymbol_0010_heavy_rain_showers,wsymbol_0026_heavy_rain_showers_night
296,Légère pluie,Light rain,wsymbol_0017_cloudy_with_light_rain,wsymbol_0025_light_rain_showers_night
293,Légères averses de pluie localisées,Patchy light rain,wsymbol_0017_cloudy_with_light_rain,wsymbol_0033_cloudy_with_light_rain_night
284,Bruine verglaçante forte,Heavy freezing drizzle,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
281,Bruine verglaçante,Freezing drizzle,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
266,Légère bruine,Light drizzle,wsymbol_0017_cloudy_with_light_rain,wsymbol_0033_cloudy_with_light_rain_night
263,Légères bruines localisées,Patchy light drizzle,wsymbol_0009_light_rain_showers,wsymbol_0025_light_rain_showers_night
260,Brouillard givrant,Freezing fog,wsymbol_0007_fog,wsymbol_0007_fog
248,Brouillard,Fog,wsymbol_0007_fog,wsymbol_0007_fog
230,Tempête de neige (blizzard),Blizzard,wsymbol_0020_cloudy_with_heavy_snow,wsymbol_0036_cloudy_with_heavy_snow_night
227,Neige soufflée par le vent,Blowing snow,wsymbol_0019_cloudy_with_light_snow,wsymbol_0035_cloudy_with_light_snow_night
200,Orages à proximité,Thundery outbreaks in nearby,wsymbol_0016_thundery_showers,wsymbol_0032_thundery_showers_night
185,Légère bruine verglaçante à proximité,Patchy freezing drizzle nearby,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
182,Légères chutes de neige fondante à proximité,Patchy sleet nearby,wsymbol_0021_cloudy_with_sleet,wsymbol_0037_cloudy_with_sleet_night
179,Légères chutes de neige à proximité,Patchy snow nearby,wsymbol_0013_sleet_showers,wsymbol_0029_sleet_showers_night
176,Légères averses de pluie à proximité,Patchy rain nearby,wsymbol_0009_light_rain_showers,wsymbol_0025_light_rain_showers_night
143,Brume,Mist,wsymbol_0006_mist,wsymbol_0006_mist
122,Ciel couvert,Overcast,wsymbol_0004_black_low_cloud,wsymbol_0004_black_low_cloud
119,Nuageux,Cloudy,wsymbol_0003_white_cloud,wsymbol_0004_black_low_cloud
116,Partiellement nuageux,Partly cloudy,wsymbol_0002_sunny_intervals,wsymbol_0008_clear_sky_night
113,Ciel dégagé/Ensoleillé,Clear/Sunny,wsymbol_0001_sunny,wsymbol_0008_clear_sky_night
