person_id,lat,lon,dist_hypercentre_km,commune,INSEE,zone_metrique,zone_communale,reclasse,age,household_size,number_of_cars
74137,43.456824041406406,1.6072349511070536,20.38,Baziège,31048,2eme couronne,2eme couronne,False,81,2,1
76326,43.511905359421554,1.5813723490660445,14.53,Belberaud,31057,1ere couronne,2eme couronne,True,74,1,1
83410,43.380426970500366,1.1790850204089238,32.28,Bérat,31065,2eme couronne,3eme couronne,True,64,1,1
83940,43.37236302328341,1.167709969250989,33.56,Bérat,31065,2eme couronne,3eme couronne,True,81,1,1
89918,43.80173020765211,1.6024016574514826,26.01,Bessières,31066,2eme couronne,3eme couronne,True,42,3,1
89920,43.80173020765211,1.6024016574514826,26.01,Bessières,31066,2eme couronne,3eme couronne,True,15,3,1
92872,43.66187297251479,1.381166958769333,8.82,Beauzelle,31056,1ere couronne,1ere couronne,False,87,1,0
95856,43.628589955444184,1.3878199774936975,5.77,Blagnac,31069,Toulouse,1ere couronne,True,59,3,1
95857,43.628589955444184,1.3878199774936975,5.77,Blagnac,31069,Toulouse,1ere couronne,True,60,3,1
95858,43.628589955444184,1.3878199774936975,5.77,Blagnac,31069,Toulouse,1ere couronne,True,36,3,1
96337,43.63246499238635,1.3903789708467176,5.88,Blagnac,31069,Toulouse,1ere couronne,True,53,3,2
96339,43.63246499238635,1.3903789708467176,5.88,Blagnac,31069,Toulouse,1ere couronne,True,16,3,2
99755,43.63540002417914,1.3966299613745676,5.75,Blagnac,31069,Toulouse,1ere couronne,True,27,2,0
99756,43.63540002417914,1.3966299613745676,5.75,Blagnac,31069,Toulouse,1ere couronne,True,30,2,0
102740,43.25972898580335,0.6412879631292957,74.98,,,3eme couronne,hors périmètre,True,22,1,1
107592,43.62471002733823,1.3969900131943456,4.92,Blagnac,31069,Toulouse,1ere couronne,True,23,2,2
107593,43.62471002733823,1.3969900131943456,4.92,Blagnac,31069,Toulouse,1ere couronne,True,63,2,2
108229,43.62388401633273,1.3902480092069478,5.3,Blagnac,31069,Toulouse,1ere couronne,True,72,2,1
108230,43.62388401633273,1.3902480092069478,5.3,Blagnac,31069,Toulouse,1ere couronne,True,48,2,1
110779,43.637819984273435,1.393060028929054,6.14,Blagnac,31069,Toulouse,1ere couronne,True,44,1,0
114867,43.898771560519556,1.5420462506988413,34.41,Le Born,31077,2eme couronne,3eme couronne,True,87,1,1
118993,43.63857999810466,1.396819981145488,6.01,Blagnac,31069,Toulouse,1ere couronne,True,73,1,1
120015,43.63947998557317,1.384479953816963,6.76,Blagnac,31069,Toulouse,1ere couronne,True,33,3,0
120016,43.63947998557317,1.384479953816963,6.76,Blagnac,31069,Toulouse,1ere couronne,True,39,3,0
120017,43.63947998557317,1.384479953816963,6.76,Blagnac,31069,Toulouse,1ere couronne,True,14,3,0
120832,43.663702004040516,1.3852579895565187,8.81,Beauzelle,31056,1ere couronne,1ere couronne,False,24,1,1
121998,43.90016387924501,1.5434227669841454,34.59,Le Born,31077,2eme couronne,3eme couronne,True,26,1,1
125592,43.65814001164393,1.3797539816619837,8.56,Beauzelle,31056,1ere couronne,1ere couronne,False,39,3,2
125593,43.65814001164393,1.3797539816619837,8.56,Beauzelle,31056,1ere couronne,1ere couronne,False,40,3,2
127234,43.73034099978791,1.4022200451988411,15.18,Bruguières,31091,1ere couronne,1ere couronne,False,46,1,1
127490,43.72572499033618,1.3926539860083258,14.88,Saint-Jory,31490,1ere couronne,2eme couronne,True,28,2,2
127491,43.72572499033618,1.3926539860083258,14.88,Saint-Jory,31490,1ere couronne,2eme couronne,True,27,2,2
130517,43.632287974997574,1.3982019737871338,5.41,Blagnac,31069,Toulouse,1ere couronne,True,32,1,1
136436,43.662852002448645,1.377617027381435,9.08,Beauzelle,31056,1ere couronne,1ere couronne,False,19,2,1
136437,43.662852002448645,1.377617027381435,9.08,Beauzelle,31056,1ere couronne,1ere couronne,False,44,2,1
143904,43.65121719647004,1.3840925606061993,7.74,Blagnac,31069,Toulouse,1ere couronne,True,33,2,1
143905,43.65121719647004,1.3840925606061993,7.74,Blagnac,31069,Toulouse,1ere couronne,True,34,2,1
143923,43.66462992428456,1.37716137235826,9.26,Beauzelle,31056,1ere couronne,1ere couronne,False,73,2,2
145003,43.7261460222939,1.410696013582085,14.59,Bruguières,31091,1ere couronne,1ere couronne,False,46,3,2
145004,43.7261460222939,1.410696013582085,14.59,Bruguières,31091,1ere couronne,1ere couronne,False,10,3,2
145005,43.7261460222939,1.410696013582085,14.59,Bruguières,31091,1ere couronne,1ere couronne,False,42,3,2
145009,43.62680997153505,1.3874299450465328,5.68,Blagnac,31069,Toulouse,1ere couronne,True,86,2,1
145010,43.62680997153505,1.3874299450465328,5.68,Blagnac,31069,Toulouse,1ere couronne,True,81,2,1
146474,43.65111998308918,1.3693600587934938,8.53,Blagnac,31069,1ere couronne,1ere couronne,False,44,1,1
148141,43.50351313793969,1.4860109587556418,10.94,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,25,1,1
148842,43.520837726152905,1.4920268340215463,9.31,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,19,1,1
152157,43.54105384663728,1.5451102733323792,10.21,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,17,1,1
154709,43.783442084908565,1.136022159312136,32.33,Le Burgaud,31093,2eme couronne,3eme couronne,True,36,2,3
154710,43.783442084908565,1.136022159312136,32.33,Le Burgaud,31093,2eme couronne,3eme couronne,True,36,2,3
155241,43.7771399678206,1.6417809462728088,25.5,Buzet-sur-Tarn,31094,2eme couronne,3eme couronne,True,68,2,2
155846,43.54950399833809,1.5435935322236718,9.56,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,29,1,1
156701,43.54888702557078,1.5338659454498789,8.96,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,76,2,2
156702,43.54888702557078,1.5338659454498789,8.96,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,73,2,2
165161,43.54865997282866,1.530870038149365,8.78,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,47,1,1
165392,43.51626900523378,1.8740070598641103,35.73,Le Cabanial,31097,2eme couronne,3eme couronne,True,21,1,1
168125,43.5131649257217,1.4873914200963507,9.96,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,80,2,2
168126,43.5131649257217,1.4873914200963507,9.96,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,73,2,2
169070,43.33481476750028,1.255636956505388,32.95,Capens,31104,2eme couronne,2eme couronne,False,76,2,3
169071,43.33481476750028,1.255636956505388,32.95,Capens,31104,2eme couronne,2eme couronne,False,76,2,3
174217,43.519030256564285,1.4977805252771543,9.69,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,59,2,1
174218,43.519030256564285,1.4977805252771543,9.69,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,67,2,1
177642,43.52033499251029,1.5076310261261066,9.94,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,28,1,1
182154,43.511757019062514,1.4967740154224742,10.39,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,25,1,1
182173,43.5044290919796,1.707392721665383,23.54,Caragoudes,31105,2eme couronne,2eme couronne,False,67,2,3
182174,43.5044290919796,1.707392721665383,23.54,Caragoudes,31105,2eme couronne,2eme couronne,False,75,2,3
182859,43.516027020319626,1.50984300291009,10.44,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,56,1,1
183745,43.30364004249735,1.2047584870147336,37.98,Carbonne,31107,2eme couronne,3eme couronne,True,7,4,2
183746,43.30364004249735,1.2047584870147336,37.98,Carbonne,31107,2eme couronne,3eme couronne,True,40,4,2
183747,43.30364004249735,1.2047584870147336,37.98,Carbonne,31107,2eme couronne,3eme couronne,True,39,4,2
185657,43.52194916142172,1.4954538066441518,9.32,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,43,1,2
192116,43.68750770787247,1.5376134677105382,12.49,Castelmaurou,31117,1ere couronne,1ere couronne,False,75,2,2
192924,43.514829022523855,1.5031169388968202,10.3,Castanet-Tolosan,31113,1ere couronne,1ere couronne,False,55,1,1
193412,43.54712998243105,1.5359449573254802,9.21,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,86,4,1
193413,43.54712998243105,1.5359449573254802,9.21,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,65,4,1
193415,43.54712998243105,1.5359449573254802,9.21,Saint-Orens-de-Gameville,31506,1ere couronne,1ere couronne,False,30,4,1
197636,43.680371295482125,1.5386580150566525,11.92,Castelmaurou,31117,1ere couronne,1ere couronne,False,7,3,3
197637,43.680371295482125,1.5386580150566525,11.92,Castelmaurou,31117,1ere couronne,1ere couronne,False,38,3,3
197638,43.680371295482125,1.5386580150566525,11.92,Castelmaurou,31117,1ere couronne,1ere couronne,False,18,3,3
200013,43.694045994583824,1.4364020242667623,10.77,Castelginest,31116,1ere couronne,1ere couronne,False,58,2,1
200860,43.7851277934255,1.3646568195776565,21.86,Castelnau-d'Estrétefonds,31118,2eme couronne,2eme couronne,False,70,3,3
200861,43.7851277934255,1.3646568195776565,21.86,Castelnau-d'Estrétefonds,31118,2eme couronne,2eme couronne,False,31,3,3
200862,43.7851277934255,1.3646568195776565,21.86,Castelnau-d'Estrétefonds,31118,2eme couronne,2eme couronne,False,72,3,3
202196,43.79650698080006,1.3374710232243514,23.77,Castelnau-d'Estrétefonds,31118,2eme couronne,2eme couronne,False,43,3,2
202524,43.679750773851254,1.1528652937850166,25.23,Le Castéra,31120,2eme couronne,2eme couronne,False,62,2,2
202525,43.679750773851254,1.1528652937850166,25.23,Le Castéra,31120,2eme couronne,2eme couronne,False,65,2,2
202691,43.67020402812055,1.4232749538887308,8.29,Aucamville,31022,1ere couronne,1ere couronne,False,51,1,0
203041,43.6867019848216,1.4207460409342998,10.13,Saint-Alban,31467,1ere couronne,1ere couronne,False,22,2,2
203042,43.6867019848216,1.4207460409342998,10.13,Saint-Alban,31467,1ere couronne,1ere couronne,False,22,2,2
203150,43.68846202381976,1.4501939387703418,10.14,Castelginest,31116,1ere couronne,1ere couronne,False,13,6,1
203151,43.68846202381976,1.4501939387703418,10.14,Castelginest,31116,1ere couronne,1ere couronne,False,50,6,1
203153,43.68846202381976,1.4501939387703418,10.14,Castelginest,31116,1ere couronne,1ere couronne,False,43,6,1
203155,43.68846202381976,1.4501939387703418,10.14,Castelginest,31116,1ere couronne,1ere couronne,False,10,6,1
205186,43.29766999319235,1.471399974936671,33.39,Caujac,31128,2eme couronne,3eme couronne,True,24,1,1
216265,43.677769000588796,1.4218929884715825,9.13,Aucamville,31022,1ere couronne,1ere couronne,False,40,3,2
216266,43.677769000588796,1.4218929884715825,9.13,Aucamville,31022,1ere couronne,1ere couronne,False,31,3,2
216446,43.2905120347885,1.536733016533938,34.91,Cintegabelle,31145,2eme couronne,3eme couronne,True,34,4,2
216447,43.2905120347885,1.536733016533938,34.91,Cintegabelle,31145,2eme couronne,3eme couronne,True,11,4,2
216448,43.2905120347885,1.536733016533938,34.91,Cintegabelle,31145,2eme couronne,3eme couronne,True,12,4,2
216760,43.29348095850359,1.5716320123330254,35.3,Cintegabelle,31145,2eme couronne,3eme couronne,True,24,1,1
224251,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,20,6,2
224252,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,13,6,2
224253,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,45,6,2
224254,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,17,6,2
224255,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,48,6,2
224256,43.69444579731144,1.4400085912849652,10.8,Castelginest,31116,1ere couronne,1ere couronne,False,8,6,2
230464,43.671169417804116,1.4284933081429814,8.32,Aucamville,31022,1ere couronne,1ere couronne,False,18,4,2
230465,43.671169417804116,1.4284933081429814,8.32,Aucamville,31022,1ere couronne,1ere couronne,False,51,4,2
230466,43.671169417804116,1.4284933081429814,8.32,Aucamville,31022,1ere couronne,1ere couronne,False,16,4,2
236046,43.66215545377615,1.4248116929985775,7.39,Aucamville,31022,Toulouse,1ere couronne,True,41,4,2
236047,43.66215545377615,1.4248116929985775,7.39,Aucamville,31022,Toulouse,1ere couronne,True,42,4,2
236049,43.66215545377615,1.4248116929985775,7.39,Aucamville,31022,Toulouse,1ere couronne,True,14,4,2
236086,43.691065011873725,1.4335040393399843,10.46,Castelginest,31116,1ere couronne,1ere couronne,False,78,2,1
236087,43.691065011873725,1.4335040393399843,10.46,Castelginest,31116,1ere couronne,1ere couronne,False,82,2,1
238306,43.313459825050366,1.5372456960534335,32.43,Cintegabelle,31145,2eme couronne,3eme couronne,True,30,1,0
239897,43.693651962226134,1.4495019455422014,10.71,Castelginest,31116,1ere couronne,1ere couronne,False,54,2,1
246225,43.457699030063935,1.4327240096101148,15.56,Clermont-le-Fort,31148,1ere couronne,1ere couronne,False,25,2,1
246226,43.457699030063935,1.4327240096101148,15.56,Clermont-le-Fort,31148,1ere couronne,1ere couronne,False,25,2,1
251890,43.65052197118135,1.3357540538177917,10.6,Cornebarrieu,31150,1ere couronne,1ere couronne,False,29,2,0
251891,43.65052197118135,1.3357540538177917,10.6,Cornebarrieu,31150,1ere couronne,1ere couronne,False,30,2,0
252153,43.65202599220394,1.3098100463580369,12.46,Cornebarrieu,31150,1ere couronne,1ere couronne,False,25,2,2
252154,43.65202599220394,1.3098100463580369,12.46,Cornebarrieu,31150,1ere couronne,1ere couronne,False,26,2,2
253107,43.68987997749698,1.4382739483398221,10.3,Castelginest,31116,1ere couronne,1ere couronne,False,49,1,1
256344,43.69160398670837,1.4253090077943347,10.6,Castelginest,31116,1ere couronne,1ere couronne,False,55,1,2
258964,43.64698432855379,1.3153451674021286,11.81,Cornebarrieu,31150,1ere couronne,1ere couronne,False,90,1,0
263992,43.65928021080055,1.307633945398642,13.03,Cornebarrieu,31150,1ere couronne,1ere couronne,False,72,2,1
263993,43.65928021080055,1.307633945398642,13.03,Cornebarrieu,31150,1ere couronne,1ere couronne,False,74,2,1
267076,43.47570198976935,1.497438994275801,14.17,Corronsac,31151,1ere couronne,2eme couronne,True,52,2,3
270321,43.59963803483233,1.600420040408606,12.52,Drémil-Lafage,31163,1ere couronne,1ere couronne,False,22,2,1
270322,43.59963803483233,1.600420040408606,12.52,Drémil-Lafage,31163,1ere couronne,1ere couronne,False,20,2,1
273334,43.43042682345122,1.348481382078249,20.13,Eaunes,31165,2eme couronne,2eme couronne,False,14,5,0
273338,43.43042682345122,1.348481382078249,20.13,Eaunes,31165,2eme couronne,2eme couronne,False,16,5,0
274478,43.432506459806746,1.3592374372141778,19.59,Eaunes,31165,1ere couronne,2eme couronne,True,46,6,2
274479,43.432506459806746,1.3592374372141778,19.59,Eaunes,31165,1ere couronne,2eme couronne,True,67,6,2
274480,43.432506459806746,1.3592374372141778,19.59,Eaunes,31165,1ere couronne,2eme couronne,True,46,6,2
274481,43.432506459806746,1.3592374372141778,19.59,Eaunes,31165,1ere couronne,2eme couronne,True,46,6,2
274482,43.432506459806746,1.3592374372141778,19.59,Eaunes,31165,1ere couronne,2eme couronne,True,10,6,2
278000,43.41461792031159,1.3622521990859466,21.39,Eaunes,31165,2eme couronne,2eme couronne,False,80,2,2
278001,43.41461792031159,1.3622521990859466,21.39,Eaunes,31165,2eme couronne,2eme couronne,False,78,2,2
279327,43.52974896330067,1.0874120199824633,29.78,Empeaux,31166,2eme couronne,2eme couronne,False,55,2,1
279328,43.52974896330067,1.0874120199824633,29.78,Empeaux,31166,2eme couronne,2eme couronne,False,59,2,1
281772,42.92773195752228,0.6906799418679135,96.3,,,3eme couronne,hors périmètre,True,72,1,1
285165,43.3994319884592,1.27981500729562,25.73,Le Fauga,31181,2eme couronne,2eme couronne,False,46,2,1
285166,43.3994319884592,1.27981500729562,25.73,Le Fauga,31181,2eme couronne,2eme couronne,False,34,2,1
285215,43.67811627997464,1.3940763482415395,9.87,Fenouillet,31182,1ere couronne,1ere couronne,False,61,3,3
285216,43.67811627997464,1.3940763482415395,9.87,Fenouillet,31182,1ere couronne,1ere couronne,False,61,3,3
285217,43.67811627997464,1.3940763482415395,9.87,Fenouillet,31182,1ere couronne,1ere couronne,False,32,3,3
286046,43.68338638152975,1.4364210249149756,9.59,Fonbeauzard,31186,1ere couronne,1ere couronne,False,14,5,2
286047,43.68338638152975,1.4364210249149756,9.59,Fonbeauzard,31186,1ere couronne,1ere couronne,False,42,5,2
286048,43.68338638152975,1.4364210249149756,9.59,Fonbeauzard,31186,1ere couronne,1ere couronne,False,16,5,2
286049,43.68338638152975,1.4364210249149756,9.59,Fonbeauzard,31186,1ere couronne,1ere couronne,False,40,5,2
286050,43.68338638152975,1.4364210249149756,9.59,Fonbeauzard,31186,1ere couronne,1ere couronne,False,6,5,2
288303,43.560737993356085,1.228850948072035,17.88,Fontenilles,31188,1ere couronne,2eme couronne,True,27,1,2
290366,43.556815993031755,1.1847500360582714,21.44,Fontenilles,31188,2eme couronne,2eme couronne,False,53,2,1
290367,43.556815993031755,1.1847500360582714,21.44,Fontenilles,31188,2eme couronne,2eme couronne,False,51,2,1
290876,43.556451028820135,1.1915480592975929,20.92,Fontenilles,31188,2eme couronne,2eme couronne,False,53,1,1
292153,43.56748763350237,1.2033526795219882,19.75,Fontenilles,31188,1ere couronne,2eme couronne,True,30,1,1
293013,43.566055036849626,1.2002469677572454,20.02,Fontenilles,31188,2eme couronne,2eme couronne,False,17,3,3
293014,43.566055036849626,1.2002469677572454,20.02,Fontenilles,31188,2eme couronne,2eme couronne,False,47,3,3
293015,43.566055036849626,1.2002469677572454,20.02,Fontenilles,31188,2eme couronne,2eme couronne,False,45,3,3
295484,43.13603239445248,0.5314393344943513,89.91,,,3eme couronne,hors périmètre,True,88,1,0
297422,43.837756195939185,1.4093801438815963,26.89,Fronton,31202,2eme couronne,3eme couronne,True,73,3,3
297424,43.837756195939185,1.4093801438815963,26.89,Fronton,31202,2eme couronne,3eme couronne,True,96,3,3
301866,43.84143898896462,1.3892069411719679,27.51,Fronton,31202,2eme couronne,3eme couronne,True,41,2,1
302729,43.83832796814646,1.412713995772566,26.92,Fronton,31202,2eme couronne,3eme couronne,True,43,3,2
302730,43.83832796814646,1.412713995772566,26.92,Fronton,31202,2eme couronne,3eme couronne,True,16,3,2
302731,43.83832796814646,1.412713995772566,26.92,Fronton,31202,2eme couronne,3eme couronne,True,51,3,2
310383,43.83346803566424,1.4013919675860569,26.49,Fronton,31202,2eme couronne,3eme couronne,True,70,1,1
314162,43.70034903100885,1.3811829924267909,12.55,Gagnac-sur-Garonne,31205,1ere couronne,1ere couronne,False,13,5,2
314163,43.70034903100885,1.3811829924267909,12.55,Gagnac-sur-Garonne,31205,1ere couronne,1ere couronne,False,46,5,2
314164,43.70034903100885,1.3811829924267909,12.55,Gagnac-sur-Garonne,31205,1ere couronne,1ere couronne,False,16,5,2
314165,43.70034903100885,1.3811829924267909,12.55,Gagnac-sur-Garonne,31205,1ere couronne,1ere couronne,False,6,5,2
314166,43.70034903100885,1.3811829924267909,12.55,Gagnac-sur-Garonne,31205,1ere couronne,1ere couronne,False,44,5,2
325442,43.260503215814275,1.4739685575896988,37.53,Gaillac-Toulza,31206,2eme couronne,3eme couronne,True,19,4,2
325443,43.260503215814275,1.4739685575896988,37.53,Gaillac-Toulza,31206,2eme couronne,3eme couronne,True,24,4,2
325444,43.260503215814275,1.4739685575896988,37.53,Gaillac-Toulza,31206,2eme couronne,3eme couronne,True,47,4,2
325761,43.70473572836445,1.557068944758262,14.96,Garidech,31212,1ere couronne,2eme couronne,True,6,4,2
325762,43.70473572836445,1.557068944758262,14.96,Garidech,31212,1ere couronne,2eme couronne,True,11,4,2
325763,43.70473572836445,1.557068944758262,14.96,Garidech,31212,1ere couronne,2eme couronne,True,52,4,2
325764,43.70473572836445,1.557068944758262,14.96,Garidech,31212,1ere couronne,2eme couronne,True,45,4,2
334274,43.077452968746826,0.5832900493524236,90.55,,,3eme couronne,hors périmètre,True,42,4,2
334275,43.077452968746826,0.5832900493524236,90.55,,,3eme couronne,hors périmètre,True,44,4,2
335833,43.726587011201836,1.4412790144943637,14.37,Gratentour,31230,1ere couronne,1ere couronne,False,75,2,1
335834,43.726587011201836,1.4412790144943637,14.37,Gratentour,31230,1ere couronne,1ere couronne,False,78,2,1
337371,43.72061295921579,1.4393609404580945,13.71,Gratentour,31230,1ere couronne,1ere couronne,False,53,4,3
337372,43.72061295921579,1.4393609404580945,13.71,Gratentour,31230,1ere couronne,1ere couronne,False,16,4,3
337373,43.72061295921579,1.4393609404580945,13.71,Gratentour,31230,1ere couronne,1ere couronne,False,20,4,3
337374,43.72061295921579,1.4393609404580945,13.71,Gratentour,31230,1ere couronne,1ere couronne,False,52,4,3
342533,43.72312303397916,1.4371419941527215,14.0,Gratentour,31230,1ere couronne,1ere couronne,False,25,2,2
346466,43.4170889732685,1.4434709599033255,20.04,Grépiac,31233,2eme couronne,3eme couronne,True,55,2,2
346467,43.4170889732685,1.4434709599033255,20.04,Grépiac,31233,2eme couronne,3eme couronne,True,56,2,2
349705,42.89031998192242,0.6167029813673123,103.35,,,3eme couronne,hors périmètre,True,32,3,2
349707,42.89031998192242,0.6167029813673123,103.35,,,3eme couronne,hors périmètre,True,24,3,2
352232,43.46136599503545,1.3997019428692834,15.56,Labarthe-sur-Lèze,31248,1ere couronne,1ere couronne,False,39,1,1
358224,43.75852953847455,1.3367625493439377,19.92,Grenade,31232,1ere couronne,2eme couronne,True,64,2,2
358877,43.45543741071573,1.405558431261938,16.1,Labarthe-sur-Lèze,31248,1ere couronne,1ere couronne,False,27,2,2
358878,43.45543741071573,1.405558431261938,16.1,Labarthe-sur-Lèze,31248,1ere couronne,1ere couronne,False,26,2,2
361772,43.48356274007552,1.667150593044964,21.93,Labastide-Beauvoir,31249,2eme couronne,2eme couronne,False,73,1,1
363033,43.771719970738545,1.2948470475748426,22.84,Grenade,31232,2eme couronne,2eme couronne,False,10,3,2
363034,43.771719970738545,1.2948470475748426,22.84,Grenade,31232,2eme couronne,2eme couronne,False,46,3,2
363035,43.771719970738545,1.2948470475748426,22.84,Grenade,31232,2eme couronne,2eme couronne,False,50,3,2
363903,43.771254040688014,1.2957239400469445,22.76,Grenade,31232,2eme couronne,2eme couronne,False,33,4,2
363906,43.771254040688014,1.2957239400469445,22.76,Grenade,31232,2eme couronne,2eme couronne,False,5,4,2
364073,43.48276002804242,1.664636041156949,21.81,Labastide-Beauvoir,31249,2eme couronne,2eme couronne,False,24,3,2
364074,43.48276002804242,1.664636041156949,21.81,Labastide-Beauvoir,31249,2eme couronne,2eme couronne,False,32,3,2
365589,43.34528889019277,1.1164884620817588,38.58,Labastide-Clermont,31250,2eme couronne,3eme couronne,True,61,2,2
365590,43.34528889019277,1.1164884620817588,38.58,Labastide-Clermont,31250,2eme couronne,3eme couronne,True,57,2,2
368344,43.57661103230743,1.279125983643044,13.56,La Salvetat-Saint-Gilles,31526,1ere couronne,1ere couronne,False,88,1,1
368595,43.49610159287149,1.4430548899703886,11.26,Lacroix-Falgarde,31259,1ere couronne,1ere couronne,False,31,2,2
368596,43.49610159287149,1.4430548899703886,11.26,Lacroix-Falgarde,31259,1ere couronne,1ere couronne,False,32,2,2
368787,43.76681953134492,1.2925875700666598,22.48,Grenade,31232,2eme couronne,2eme couronne,False,74,1,0
370275,43.412989002880664,1.388286993820031,21.0,Lagardelle-sur-Lèze,31263,2eme couronne,2eme couronne,False,38,4,2
